Date,AGG,EEM,EFA,GLD,IWM,LQD,MTUM,QQQ,QUAL,SPY,TLT,USMV,VLUE,VNQ
2025-06-13,94.17517852783203,45.76185989379883,84.8078842163086,316.2900085449219,206.172607421875,103.06574249267578,228.16766357421875,523.8460083007812,176.2218475341797,588.7171630859375,82.58406066894531,91.28369903564453,106.6722412109375,85.63938903808594
2025-06-16,93.98291015625,46.32286834716797,85.12599182128906,311.7799987792969,208.60336303710938,102.8840560913086,230.08505249023438,531.132568359375,177.82464599609375,594.318359375,81.75179290771484,91.3280258178711,107.98277282714844,85.70612335205078
2025-06-17,94.27130889892578,45.714778900146484,84.08174133300781,311.94000244140625,206.40618896484375,103.23786163330078,228.3374786376953,525.953369140625,176.1208038330078,589.2398681640625,82.74666595458984,90.71739196777344,106.94297790527344,85.40105438232422
2025-06-18,94.338623046875,45.7049674987793,84.22677612304688,310.260009765625,207.494873046875,103.31434631347656,228.64529418945312,525.8638916015625,174.9221649169922,589.1510009765625,82.89016723632812,90.38253021240234,107.29611206054688,85.69659423828125
2025-06-20,94.42514038085938,45.44015884399414,83.47259521484375,310.1300048828125,207.05938720703125,103.40039825439453,228.67507934570312,523.7166748046875,173.99099731445312,587.7673950195312,82.73709869384766,90.4120864868164,107.58057403564453,85.63938903808594
2025-06-23,94.6174087524414,45.8128547668457,84.10108184814453,311.0799865722656,209.5930938720703,103.6585693359375,232.57733154296875,529.1017456054688,175.93260192871094,593.5730590820312,83.00493621826172,91.2689208984375,108.46343994140625,86.9264144897461
2025-06-24,95.00196075439453,46.99961471557617,85.12599182128906,306.19000244140625,212.2653350830078,104.14620971679688,235.21856689453125,537.1928100585938,177.92372131347656,600.1304321289062,83.60762023925781,91.7416763305664,109.92505645751953,87.15522003173828
2025-06-25,94.99235534667969,47.038848876953125,84.66188049316406,307.1199951171875,209.79103088378906,104.02191162109375,233.5404815673828,538.5661010742188,177.68597412109375,600.4666748046875,83.71282958984375,90.95376586914062,109.28744506835938,85.0578384399414
2025-06-26,95.25190734863281,47.35270309448242,85.60944366455078,306.7799987792969,213.19566345214844,104.40438079833984,235.45687866210938,543.6019287109375,178.67657470703125,605.1646118164062,84.13375091552734,91.29846954345703,110.2781982421875,84.9789047241211
2025-06-27,94.98273468017578,47.166351318359375,86.38296508789062,301.2200012207031,213.2649383544922,104.23226928710938,236.03280639648438,545.462890625,179.8851318359375,608.1712646484375,83.59803771972656,91.60379791259766,110.45475769042969,85.1906967163086
